Architecture,Best_Resolution,Boost_Clock(MHz),Core_Speed(MHz),DVI_Connection,Dedicated,Direct_X,DisplayPort_Connection,HDMI_Connection,Integrated,L2_Cache(KB),Manufacturer,Max_Power(Watt),Memory(MB),Memory_Bandwidth(GB/sec),Memory_Bus(Bit),Memory_Speed(MHz),Memory_Type,Name,Notebook_GPU,Open_GL,PSU(Watts),Pixel_Rate(GPixel/s),Power_Connector,Process(nm),ROPs,Release_Date,Release_Price,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate(GTexel/s),VGA_Connection
Tesla G92b ,,,738,2,Yes,10.0,,0,No,0,Nvidia,141,1024 ,64,256 ,1000,GDDR3,GeForce GTS 150,No,3.3,450,12,None ,55,16,"
01-Mar-2009 ",,2560x1600,Yes,4.0,64 ,47,0
R600 XT ,1366 x 768,,"
- ",2,Yes,10,,0,No,0,AMD,215,512 ,106,512 ,828,GDDR3,Radeon HD 2900 XT 512MB,No,3.1,550,12,None ,80,16,"
14-May-2007 ",,2560x1600,Yes,4.0,16 ,12,0
R600 PRO ,1366 x 768,,"
- ",2,Yes,10,,0,No,0,AMD,200,512 ,51.2,256 ,800,GDDR3,Radeon HD 2900 Pro,No,3.1,550,10,None ,80,16,"
07-Dec-2007 ",,2560x1600,Yes,4.0,16 ,10,0
RV630 ,1024 x 768,,"
- ",2,Yes,10,,0,No,0,AMD,,256 ,36.8,128 ,1150,GDDR4,Radeon HD 2600 XT Diamond Edition,No,3.3,,3,None ,65,4,"
01-Jul-2007 ",,2560x1600,Yes,4.0,8 ,7,0
RV630 ,1024 x 768,,"
- ",2,Yes,10,,0,No,0,AMD,45,256 ,22.4,128 ,700,GDDR3,Radeon HD 2600 XT,No,3.1,400,3,None ,65,4,"
28-Jun-2007 ",,2560x1600,Yes,4.0,8 ,6,0
RV630 ,1024 x 768,,"
- ",2,Yes,10,,0,No,0,AMD,50,256 ,35.2,128 ,1100,GDDR4,Radeon HD 2600 XT 256MB GDDR4,No,3.3,400,3,None ,65,4,"
26-Jun-2007 ",,2560x1600,Yes,4.0,8 ,6,0
R700 RV790 XT ,1920 x 1080,,870,1,Yes,10.1,,1,No,0,AMD,190,2048 ,134.4,256 ,1050,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,No,3.3,500,14,2x 6-pin ,55,16,"
13-Jul-2009 ",,2560x1600,Yes,4.1,40 ,35,1
R600 GT ,1024 x 768,,"
- ",2,Yes,10,,0,No,0,AMD,150,256 ,51.2,256 ,800,GDDR3,Radeon HD 2900 GT,No,3.1,550,7,None ,80,12,"
06-Nov-2007 ",,2560x1600,Yes,4.0,12 ,7,0
Pitcairn XT GL ,1920 x 1080,,"
- ",0,Yes,11.2,,0,No,0,AMD,150,2048 ,160,256 ,1250,GDDR5,FirePro D300,No,4.3,500,25,None ,28,32,"
18-Jan-2014 ",,4096x2160,Yes,5.0,80 ,62,0
RV100 ,,,"
- ",,Yes,7,,,No,0,AMD,32,64 ,2.9,64 ,366,DDR,Radeon 7000 64mb,No,1.4,,,None ,,,"
02-Jan-2001 ",,1600x1200,No,1.0,,,
NV28GL A2 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,128 ,5.2,128 ,325,DDR,Quadro4 980 XGL,No,1.5,,1,None ,150,4,"
01-Nov-2002 ",,,No,1.3,8 ,2,0
Fermi GF110 ,1920 x 1080,,650,2,Yes,12.0,0,1,No,768,Nvidia,250,6144 ,177.6,384 ,925,GDDR5,Tesla M2090,No,4.5,600,31,1x 6-pin + 1x 8-pin ,40,48,"
25-Jul-2011 ",,2560x1600,Yes,5.0,56 ,36,0
Kepler GK110 ,,,705,0,Yes,12.0,,0,No,1536,Nvidia,225,5120 ,168,320 ,1050,GDDR5,Tesla K20,No,4.5,650,,None ,28,,"
01-Nov-2012 ",,4096x2160,No,5.0,,,0
Kepler GK110 ,2560 x 1600,,706,0,Yes,12.0,,0,No,1536,Nvidia,245,12288 ,288.4,384 ,1502,GDDR5,Tesla K40c,No,4.5,,34,None ,28,48,"
12-Nov-2013 ",,4096x2160,Yes,5.0,240 ,169,0
RV200 ,,,"
- ",,Yes,7,,,No,0,AMD,,64 ,5.8,128 ,360,DDR,All-in-Wonder Radeon 7500,No,1.4,,,None ,,,"
22-Jan-2002 ",,1600x1200,No,,,,1
GCN 1.1 Oland XT + Kaveri ,1600 x 900,1100 ,1050,1,Yes,12.0,0,1,No,2304,AMD,150,3072 ,57.6,128 ,900,DDR3,Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,No,4.4,400,18,None ,28,8 (x2),"
28-May-2015 ",,2560x1600,Yes,5.0,28 ,62,1
Kepler GK104 x2 ,,,"
- ",0,Yes,11.1,,0,No,0,Nvidia,300,8192 ,320,512 ,1250,GDDR5,Tesla K10,No,4.2,650,,None ,28,,"
15-May-2012 ",,4096x2160,No,5.0,,,0
Kepler GK110 ,,,732,0,Yes,12.0,,0,No,1536,Nvidia,235,6144 ,249.6,384 ,1300,GDDR5,Tesla K20X,No,4.5,,,None ,28,,"
12-Nov-2012 ",,4096x2160,Yes,5.0,,,0
Skylake GT3-E ,1366 x 768,1000 ,300,,No,12.1,,,Yes,512,Intel,28,,34.1,128 ,1067,DDR4,Iris i3 6167U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,8,
R360 ,1024 x 768,,"
- ",1,Yes,9,0,0,No,0,AMD,60,256 ,23.4,256 ,730,DDR,Radeon 9800 XT,No,2.0,400,3,None ,150,8,"
01-Oct-2003 ",,2048x1536,No,2.0,8 ,3,1
Fermi GF100 ,,,575,1,Yes,12.0,,0,No,768,Nvidia,238,6144 ,144,384 ,750,GDDR5,Tesla C2070,No,4.5,750,,None ,40,,"
01-Sep-2010 ",,2560x1600,No,5.0,,,0
Fermi GF100 ,,,575,1,Yes,12.0,,0,No,768,Nvidia,247,6144 ,144,384 ,750,GDDR5,Tesla C2075,No,4.5,750,,None ,40,,"
01-Jul-2011 ",,2560x1600,No,5.0,,,0
NV25 A2 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,128 ,3.6,128 ,225,DDR,Quadro4 750 XGL,No,1.5,,1,None ,150,4,"
19-Feb-2002 ",,,No,1.3,8 ,2,0
NV28GL A2 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,128 ,5.2,128 ,325,DDR,Quadro4 900 XGL,No,1.5,,1,None ,150,4,"
01-Nov-2002 ",,,No,1.3,8 ,2,0
Skylake GT3-E ,1366 x 768,1000 ,300,,No,12.1,,,Yes,512,Intel,15,,34.1,128 ,1067,DDR4,Iris i5 6360U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,8,
NV28 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,128 ,4.4,128 ,275,DDR,Quadro4 780 XGL,No,1.5,,1,1x 6-pin ,150,4,"
01-Nov-2002 ",,,No,1.3,8 ,2,0
Fermi GF100 ,,,575,1,Yes,12.0,,0,No,768,Nvidia,238,3072 ,144,384 ,750,GDDR5,Tesla C2050,No,4.5,750,,None ,40,,"
01-May-2010 ",,2560x1600,No,5.0,,,0
Skylake GT3-E ,1366 x 768,1050 ,300,,No,12.1,,,Yes,512,Intel,28,,34.1,128 ,1067,DDR4,Iris i5 6267U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,8,
Skylake GT3-E ,1366 x 768,950 ,300,,No,12.1,,,Yes,512,Intel,15,,34.1,128 ,1067,DDR4,Iris i5 6260U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,8,
Haswell GT3 ,1366 x 768,1100 ,200,,No,11.1,,,Yes,512,Intel,15,,25.6,128 ,800,DDR3,Iris i5 4258U,Yes,4.0,,4,,22,4,"
02-Jun-2013 ",,2560x1600,No,5.0,8 ,9,
NV18 A4 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,64 ,3.2,128 ,200,DDR,Quadro4 580 XGL,No,1.5,,1,None ,150,4,"
01-Nov-2002 ",,,No,1.3,4 ,1,0
Broadwell GT3-E ,1366 x 768,1050 ,300,,No,12.0,,,Yes,1024,Intel,47,,29.9,128 ,933,DDR3,Iris i5 5350H,Yes,4.4,,2,,14,2,"
02-Jun-2015 ",,4096x2304,No,5.0,8 ,8,
NV17 A3 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,64 ,3.2,128 ,200,DDR,Quadro4 550 XGL,No,1.5,,1,None ,150,4,"
19-Feb-2002 ",,,No,1.3,4 ,1,0
NV18 A4 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,128 ,4.1,128 ,256,DDR,Quadro4 380 XGL,No,1.5,,1,None ,150,4,"
19-Feb-2002 ",,,No,1.3,4 ,1,0
NV25 A2 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,64 ,3.6,128 ,225,DDR,Quadro4 700 XGL,No,1.5,,1,None ,150,4,"
19-Feb-2002 ",,,No,1.3,8 ,2,0
Skylake GT3-E ,1366 x 768,1100 ,300,,No,12.1,,,Yes,512,Intel,28,,34.1,128 ,1067,DDR4,Iris i5 6287U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,9,
Skylake GT3-E ,1366 x 768,1050 ,300,,No,12.1,,,Yes,512,Intel,15,,34.1,128 ,1067,DDR4,Iris i7 6650U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,8,
NV17 A3 ,,,"
- ",2,Yes,8.1,,0,No,0,Nvidia,,128 ,2.7,128 ,166,DDR,Quadro4 500 XGL,No,1.5,,1,None ,150,4,"
19-Feb-2002 ",,,No,1.3,4 ,1,0
Skylake GT3-E ,1366 x 768,1100 ,300,,No,12.1,,,Yes,512,Intel,28,,34.1,128 ,1067,DDR4,Iris i7 6567U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,9,
Skylake GT3-E ,1366 x 768,1050 ,300,,No,12.1,,,Yes,512,Intel,15,,34.1,128 ,1067,DDR4,Iris i7 6560U,Yes,4.4,,2,,14,2,"
01-Sep-2015 ",,4096x2304,No,5.0,8 ,8,
Broadwell GT3-E ,1366 x 768,1150 ,300,,No,12.0,,,Yes,1024,Intel,47,,29.9,128 ,933,DDR3,Iris i7 5950HQ,Yes,4.4,,2,,14,2,"
02-Jun-2015 ",,4096x2304,No,5.0,8 ,9,
Broadwell GT3-E ,1366 x 768,1000 ,300,,No,12.0,,,Yes,1024,Intel,47,,25.6,128 ,800,DDR3,Iris i7 5850EQ,Yes,4.4,,2,,14,2,"
02-Jun-2015 ",,4096x2304,No,5.0,8 ,8,
Pascal GP102 ,3840 x 2160,1531 ,"
- ",1,,12,3,1,,3072,Nvidia,250,,480,384 ,1250,GDDR5X,Titan X Pascal 2016,No,4.5,600,147,1x 6-pin + 1x 8-pin ,16,96,"
02-Aug-2016 ",$1199.00,7680x4320,No,5,224 ,343,0
Broadwell GT3-E ,1366 x 768,1100 ,300,,No,12.0,,,Yes,1024,Intel,47,,29.9,128 ,933,DDR3,Iris i7 5850HQ,Yes,4.4,,2,,14,2,"
02-Jun-2015 ",,4096x2304,No,5.0,8 ,9,
